station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
39800,99999,1929,12,11,45.5,4,43.5,4,981.4000244,4,,,4.300000191,4,19.79999924,4,29.89999962,,34,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37770,99999,1929,12,6,47,4,41.29999924,4,993.0999756,4,,,4.300000191,4,14.30000019,4,18.10000038,,45,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31590,99999,1929,12,6,45.79999924,4,38.29999924,4,974.5,4,,,12.39999962,4,24.5,4,36.90000153,,43,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30910,99999,1929,11,25,49.79999924,4,,,986.5,4,,,3.900000095,4,16.39999962,4,23.89999962,,41,FALSE,,,0.03999999911,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1929,8,29,62,4,56.29999924,4,1015.599976,4,,,9.300000191,4,11.19999981,4,18.10000038,,54,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38110,99999,1929,11,2,47.79999924,4,44,4,1027.900024,4,,,6.800000191,4,6,4,13,,42.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1929,9,17,55.70000076,4,52.79999924,4,1021.799988,4,,,1.399999976,4,4.300000191,4,5.099999905,,48,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30750,99999,1929,12,7,43.29999924,4,41.79999924,4,966.5999756,4,,,6.199999809,4,12.5,4,29.89999962,,42.09999847,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34970,99999,1929,8,26,62.59999847,4,56,4,1023.5,4,,,5.900000095,4,11,4,13,,59,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37770,99999,1929,12,19,36,4,28.79999924,4,1033.099976,4,,,1.899999976,4,8.199999809,4,13,,30,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38040,99999,1929,10,27,47.79999924,5,42.29999924,4,1009.900024,5,,,14.19999981,5,16.79999924,5,23.89999962,,45,FALSE,,,0.3899999857,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32620,99999,1929,12,4,46.59999847,5,42.20000076,4,995.2000122,5,,,2.900000095,5,7.400000095,5,8.899999619,,44.09999847,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1929,12,23,39.20000076,5,36,4,980.2000122,5,,,6,5,14.19999981,5,18.10000038,,30.89999962,FALSE,,,0.03999999911,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1930,10,6,48,4,47,4,996.5999756,4,,,6.800000191,4,14.30000019,4,18.10000038,,44.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30050,99999,1930,8,11,57.20000076,4,53.5,4,,,,,7.800000191,4,3.5,4,5.099999905,,54,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30260,99999,1930,12,21,43.20000076,4,39.20000076,4,1026.199951,4,,,7.800000191,4,10,4,13,,39.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1930,4,14,46.79999924,4,39.20000076,4,1004.200012,4,,,7.800000191,4,14.30000019,4,18.10000038,,43,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1930,4,25,49.5,4,48.5,4,1003.900024,4,,,5.900000095,4,7.199999809,4,13,,44.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39730,99999,1930,7,14,54.79999924,4,48.5,4,1010.799988,4,,,10.89999962,4,17.20000076,4,23.89999962,,52,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1930,9,6,61.5,4,60.5,4,1012.700012,4,,,3.099999905,4,2.700000048,4,5.099999905,,57.90000153,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37950,99999,1930,1,27,45.5,4,42.5,4,999.7000122,4,,,1.200000048,4,7,4,8.899999619,,36,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33960,99999,1930,5,20,52,4,48.5,4,1017.700012,4,,,5.300000191,4,8.300000191,4,13,,51.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30050,99999,1930,9,5,54.29999924,4,52.5,4,1013.700012,4,,,2.5,4,12,4,13,,52,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1930,1,14,51.79999924,4,46.70000076,4,1008.700012,4,,,7.800000191,4,21,4,23.89999962,,50,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1930,8,7,57.70000076,4,51.79999924,4,1013.299988,4,,,17.10000038,4,4.300000191,4,5.099999905,,54,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1930,2,19,36,4,30.20000076,4,1029.599976,4,,,3.099999905,4,4.800000191,4,8.899999619,,28.89999962,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1930,1,11,38.79999924,4,28.5,4,981.7000122,4,,,10.89999962,4,23.89999962,4,29.89999962,,37,TRUE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1930,11,28,41.5,4,39.70000076,4,1007.200012,4,,,12.39999962,4,6.5,4,13,,37.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1930,8,9,55.79999924,4,54.70000076,4,1013.5,4,,,9.300000191,4,3.5,4,5.099999905,,48,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1930,5,14,52.70000076,4,49.20000076,4,1012.599976,4,,,9.300000191,4,11,4,13,,48,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1930,5,17,56.29999924,4,47.29999924,4,1019.5,4,,,5.300000191,4,8.300000191,4,13,,48,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1930,9,21,54.70000076,4,53,4,998.0999756,4,,,10.89999962,4,10,4,13,,52,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1930,7,4,56.29999924,4,53.5,4,1011.900024,4,,,2.5,4,5.199999809,4,8.899999619,,54,TRUE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
